,percentages
0,4.04025629941612
1,4.128940265085741
2,3.197629786356953
3,4.428652684842477
4,4.150451175858119
5,3.5165545787475785
6,3.7228602179560637
7,4.417944165009956
8,4.376239639436428
9,3.8166060564631095
10,3.430569128472233
11,4.340346474685074
12,3.442739530735909
13,3.828844312739906
14,4.359126139135587
15,4.34429170384616
16,4.446180080205905
17,4.084836814090317
18,3.5522605931882687
19,3.9851415767363245
20,4.0002440650481885
21,4.043770914253925
22,4.4685814435369515
23,3.9556530040611304
24,4.101444121709768
25,2.9822434727314504
26,4.195096340887164
27,4.500007452932069
28,4.349780597274206
29,3.86564656648788
